name,   price   ,genericname,category,   costprice   ,unit,   minstock   ,requiresprescription
TELMISARTAN-H TABS 80MG 30'S,"9,500.00",TELMISARTAN-H TABS 80MG 30'S,,"8,762.94",,13,
TELMISARTAN TABS 40MG 30'S,"8,900.00",TELMISARTAN TABS 40MG 30'S,,"6,832.36",,66,
TELMISARTAN TABS 80MG,"8,900.00",TELMISARTAN TABS 80MG,,"7,800.00",,57,
TERBINAFINE CREAM TUBE,"2,550.00",TERBINAFINE CREAM TUBE,,"1,990.00",,409,
TERMIDOL SYRUP,"2,100.00",TERMIDOL SYRUP,,"1,800.00",,142,
TETMOSOL SOAP 100G,"1,900.00",TETMOSOL SOAP 100G,,"1,500.00",,328,
TETMOSOL SOAP 75G,"2,200.00",TETMOSOL SOAP 75G,,"1,348.11",,   -     ,
TETRACYCLINE CAP,"7,400.00",TETRACYCLINE CAP,,"5,522.84",,219,
TETRACYCLINE EYE OINTMENT TUBE,750,TETRACYCLINE EYE OINTMENT TUBE,,650,,"1,950.00",
TETRACYCLINE SKIN OINTMENT TUBE,900,TETRACYCLINE SKIN OINTMENT TUBE,,607.12,,   -     ,
TIMOLOL EYE DROP,"2,100.00",TIMOLOL EYE DROP,,"1,750.00",,296,
TINIDAZOLE TABS 4S PACKET,400,TINIDAZOLE TABS 4S PACKET,,252.67,,"3,815.00",
TIZANIDINE TABS,"5,900.00",TIZANIDINE TABS,,"4,500.00",,7,
TOFFPLUS CAPS 20s PACKET,"4,250.00",TOFFPLUS CAPS 20s PACKET,,"3,000.00",,47,
TOSSIL,"1,800.00",TOSSIL,,"1,600.00",,140,
TOTOLYN SYRUP,"1,450.00",TOTOLYN SYRUP,,"1,128.65",,204,
TRAMADOL CAP,"5,900.00",TRAMADOL CAP,,"4,824.10",,93,
TRAMADOL INJ,"1,250.00",TRAMADOL INJ,,858.26,,511,
TRANEXAMIC ACID INJ,"1,800.00",TRANEXAMIC ACID INJ,,"1,329.19",,50,
TRANEXAMIC ACID TABS,"7,000.00",TRANEXAMIC ACID TABS,,"5,400.00",,59,
TRIAMCINOLONE INJECTION,"3,900.00",TRIAMCINOLONE INJECTION,,"2,950.00",,10,
TRUSTLY /FLEX P/ FAMILIA COC TA,900,TRUSTLY /FLEX P/ FAMILIA COC TA,,655.89,,186,
UPT PACKET,150,UPT PACKET,,93.78,,"18,129.00",
URINE BAG,750,URINE BAG,,550,,230,
VASELINE JELLY 95MLS,"3,000.00",VASELINE JELLY 95MLS,,"2,462.89",,   -     ,
VASOGRAIN TAB,"5,000.00",VASOGRAIN TAB,,"4,200.00",,   -     ,
VICRY NO. 2,"2,500.00",VICRY NO. 2,,"2,019.98",,52,
VIGOMAX FORTE TAB,"11,500.00",VIGOMAX FORTE TAB,,"8,362.32",,   -     ,
VIGOR DOCTOR  100G,"1,500.00",VIGOR DOCTOR  100G,,"1,223.00",,   -     ,
VIRUTUBISHO,"4,500.00",VIRUTUBISHO,,   -     ,,   -     ,
VISKING HERBAL SYRUP,"2,100.00",VISKING HERBAL SYRUP,,"1,625.00",,   -     ,
VISKING LOZENGES,"17,500.00",VISKING LOZENGES,,"15,950.00",,   -     ,
VISKING RUBB KUBWA 25G,800,VISKING RUBB KUBWA 25G,,666,,   -     ,
VISKING RUBB NDOGO 4GM,250,VISKING RUBB NDOGO 4GM,,167,,   -     ,
VITAMIN B INJECTION,"1,500.00",VITAMIN B INJECTION,,"1,300.00",,8,
VITAMIN B SYRUP 100ML BOTTLE,"1,200.00",VITAMIN B SYRUP 100ML BOTTLE,,950,,7,
VITAMIN B TAB BLISTER,"1,700.00",VITAMIN B TAB BLISTER,,"1,315.22",,296,
VITAMIN C TAB BLISTER,"9,800.00",VITAMIN C TAB BLISTER,,"6,110.36",,143,
VITAMIN D3 5000IU,"8,000.00",VITAMIN D3 5000IU,,"4,000.00",,6,
VITAMIN K INJECTION.,"6,400.00",VITAMIN K INJECTION.,,"4,671.43",,46,
VIVIAN GEL TUBE,"3,300.00",VIVIAN GEL TUBE,,"3,102.95",,99,
VIVIAN PLUS TAB PKT,"7,000.00",VIVIAN PLUS TAB PKT,,"6,250.00",,   -     ,
VOLIN GEL TUBE,"3,650.00",VOLIN GEL TUBE,,"1,900.00",,65,
VOMIDOXINE TAB,"2,650.00",VOMIDOXINE TAB,,"2,133.00",,25,
WATER FOR INJ 10ML VIAL,100,WATER FOR INJ 10ML VIAL,,71.4,,"1,295.00",
WATER GUARD TAB,"6,800.00",WATER GUARD TAB,,   -     ,,   -     ,
WHITEFIELD KOPO,750,WHITEFIELD KOPO,,650,,15,
WHITEFIELD OINTMENT TUBE,750,WHITEFIELD OINTMENT TUBE,,598.32,,361,
XYLOMETAZOLINE NASAL DROPS,"1,600.00",XYLOMETAZOLINE NASAL DROPS,,"1,000.00",,   -     ,
ZECUF LOZENGES 2s,"2,950.00",ZECUF LOZENGES 2s,,"2,750.00",,   -     ,
ZECUF SYRUP BOTTLE,"2,100.00",ZECUF SYRUP BOTTLE,,"1,800.00",,376,
ZENDEX TAB,"5,500.00",ZENDEX TAB,,"5,000.00",,   -     ,
ZENKOF SYRUP BOTTLE,"2,350.00",ZENKOF SYRUP BOTTLE,,"2,100.00",,   -     ,
ZENTEL SYRUP,"4,850.00",ZENTEL SYRUP,,"4,938.60",,   -     ,
ZENTEL TAB PACKET,"5,000.00",ZENTEL TAB PACKET,,"4,700.00",,65,
ZENTUSS SYRUP 100ML BOTTLE,"2,200.00",ZENTUSS SYRUP 100ML BOTTLE,,"1,900.00",,   -     ,
ZENYLIN SYRUP BOTTLE,"2,350.00",ZENYLIN SYRUP BOTTLE,,"2,123.30",,109,
ZOA ZOA NDOGO,550,ZOA ZOA NDOGO,,500,,   -     ,
ZOAZOA SOAP,"1,150.00",ZOAZOA SOAP,,"1,389.00",,   -     ,
